# All lines beginning with '#' are commented out (ignored) by the parser.,,,,
# Multiple Boards are separated with ';',,,,
# You can use the board acronyms or numbers for Source/Dest Numbers,,,,
# Board Acronyms & Numbers are from the board_table.csv,,,,
# To add a new receive id (satellite to MB) change one of the EMPTY_RX ids to the desired name.,,,,
# To add a new transmit id (MB to satellite) change one of the EMPTY_TX ids to the desired name.,,,,
#,,,,
# ID Name (All UPPERCASE!),Default Val,Source Num,Dest Num(s),Comment
MCFO_SLEEP,0,1,4,
MCFO_BATT_POWER,0,4,1,
MCFO_COMMAND_CURRENT,0,1,4,
MCFO_STIFFNESS,0,1,4,
MCFO_DAMPNESS,0,1,4,
MCFO_STATUS,0,4,1,
MCFO_LEFT_HEEL_SENSE,0,4,1,
MCFO_RIGHT_HEEL_SENSE,0,4,1,
MCFO_EXECUTION_TIME,0,4,1,
MCFO_MAX_EXECUTION_TIME,0,4,1,
MCFO_HS_STATE,0,1,4,
MCFO_EMPTY_TX2,0,1,4,
MCFO_BATT_CURRENT,0,4,1,
MCFO_BATT_VOLTAGE,0,4,1,
MCFO_HBRIDGE_TEMP,0,4,1,
MCFO_OUTER_HS,0,4,1,
MCFO_RIGHT_ANKLE_RATE,0,4,1,
MCFO_EMPTY_RX3,0,4,1,
#Inner Foot MC,,,,
MCFI_MOTOR_VELOCITY,0,5,1,
MCFI_MOTOR_CURRENT,0,5,1,
MCFI_MOTOR_POSITION,0,5,1,
MCFI_MOTOR_TARGET_CURRENT,0,1,5,
MCFI_MID_ANKLE_ANGLE,0,5,1,
MCFI_RIGHT_LS,0,5,1,
MCFI_LEFT_LS,0,5,1,
MCFI_RIGHT_HS,0,5,1,
MCFI_LEFT_HS,0,5,1,
MCFI_BATT_POWER,0,5,1,
MCFI_SHUTDOWN,0,1,5,
MCFI_SLEEP,0,1,5,
MCFI_COMMAND_CURRENT,0,1,5,
MCFI_STIFFNESS,0,1,5,
MCFI_DAMPNESS,0,1,5,
MCFI_STATUS,0,5,1,
MCFI_LEFT_HEEL_SENSE,0,5,1,
MCFI_RIGHT_HEEL_SENSE,0,5,1,
MCFI_EXECUTION_TIME,0,5,1,
MCFI_MAX_EXECUTION_TIME,0,5,1,
MCFI_HS_STATE,0,1,5,
MCFI_EMPTY_TX2,0,1,5,
MCFI_BATT_CURRENT,0,5,1,
MCFI_BATT_VOLTAGE,0,5,1,
MCFI_HBRIDGE_TEMP,0,5,1,
MCFI_INNER_HS,0,5,1,
MCFI_ANKLE_RATE,0,5,1,
MCFI_EMPTY_RX3,0,5,1,
#COL color sensor board,,,,
COL_STATUS,0,9,1,
COL_FRONT_WHITE,0,9,1,
COL_FRONT_RED,0,9,1,
COL_FRONT_GREEN,0,9,1,
COL_FRONT_BLUE,0,9,1,
COL_EXECUTION_TIME,0,9,1,
COL_MAX_EXECUTION_TIME,0,9,1,
ERROR_COL,0,9,1,
COL_EMPTY2,0,9,1,
COL_EMPTY3,0,9,1,
#Outer (Old) Steering MC,,,,
MCSO_LEFT_ANKLE_ANGLE,0,6,1;4,
MCSO_LEFT_ANKLE_RATE,0,6,1,
MCSO_EMPTY_TX1,0,1,6,
MCSO_EMPTY_TX2,0,1,6,
MCSO_STATUS,0,6,1,
MCSO_COLOR_BACK_WHITE,0,6,1,
MCSO_COLOR_BACK_RED,0,6,1,
MCSO_COLOR_BACK_GREEN,0,6,1,
MCSO_COLOR_BACK_BLUE,0,6,1,
MCSO_EXECUTION_TIME,0,6,1,
MCSO_MAX_EXECUTION_TIME,0,6,1,
#Inner (New) Steering MC,,,,
MCSI_MOTOR_CURRENT,0,7,1,
MCSI_MOTOR_TARGET_CURRENT,0,1,7,
MCSI_STEER_ANGLE,0,7,1,
MCSI_BATT_POWER,0,7,1,
MCSI_SHUTDOWN,0,1,7,
MCSI_SLEEP,0,1,7,
MCSI_COMMAND_CURRENT,0,1,7,
MCSI_STIFFNESS,0,1,7,
MCSI_DAMPNESS,0,1,7,
MCSI_STATUS,0,7,1,
MCSI_EXECUTION_TIME,0,7,1,
MCSI_MAX_EXECUTION_TIME,0,7,1,
MCSI_EMPTY_TX1,0,1,7,
MCSI_EMPTY_TX2,0,1,7,
MCSI_BATT_CURRENT,0,7,1,
MCSI_BATT_VOLTAGE,0,7,1,
MCSI_HBRIDGE_TEMP,0,7,1,
MCSI_EMPTY_RX1,0,7,1,
MCSI_EMPTY_RX2,0,7,1,
MCSI_EMPTY_RX3,0,7,1,
#User Interface,,,,
UI_SET_LCD_QUAD_1,0,1,8,
UI_SET_LCD_QUAD_2,0,1,8,
UI_SET_LCD_QUAD_3,0,1,8,
UI_SET_LCD_QUAD_4,0,1,8,
UI_SET_LED_1,0,1,8,
UI_SET_LED_2,0,1,8,
UI_SET_LED_3,0,1,8,
UI_SET_LED_4,0,1,8,
UI_SET_LED_5,0,1,8,
UI_SET_LED_6,0,1,8,
UI_SET_BUZZER_FREQ,0,1,8,
UI_SET_BUZZER_AMPL,0,1,8,
UI_ROLL,0,8,1,
UI_PITCH,0,8,1,
UI_YAW,0,8,1,
UI_ANG_RATE_X,0,8,1,
UI_ANG_RATE_Y,0,8,1,
UI_ANG_RATE_Z,0,8,1,
UI_BUTTONS,0,8,1,
UI_RC_0,0,8,1,
UI_RC_1,0,8,1,
UI_RC_2,0,8,1,
UI_RC_3,0,8,1,
UI_EXECUTION_TIME,0,8,1,
UI_MAX_EXECUTION_TIME,0,8,1,
UI_AUDIO,0,1,8,
UI_EMPTY_TX2,0,1,8,
UI_STATUS,0,8,1,
UI_EMPTY_RX4,0,8,1,
UI_EMPTY_RX5,0,8,1,
#Can to SSP Router,,,,
CSR_CAN1_LOAD,0,2,0,
CSR_CAN2_LOAD,0,2,0,
CSR_CAN3_LOAD,0,2,0,
CSR_CAN4_LOAD,0,2,0,
CSR_MCU_POWER,0,2,0,
CSR_EMPTY_TX1,0,1,2,
CSR_EMPTY_TX2,0,1,2,
CSR_MCU_VOLTAGE,0,2,1,
CSR_MCU_CURRENT,0,2,1,
CSR_EMPTY_RX4,0,2,1,
CSR_EMPTY_RX5,0,2,1,
#,,,,
#  DO NOT EDIT ANYTHING ABOVE THIS LINE !!!!!!,,,,
#,,,,
#Main Brain,,,,
MB_EXECUTION_TIME,0,1,0,Time required to finish the schedule
ERROR_LABVIEW,0,1,0,Buffered errors for transmission to LabView/PC
ERROR_LCD,0,1,8,Buffered errors for transmission to Ranger LCD
#,,,,
#State Estimator,,,,
E_MCH_ANG_RATE,0,1,0,estimated rate of the hip (STATE = dqh)
E_MCFO_RIGHT_ANKLE_RATE ,0,1,0,estimated rate of the outer ankles (STATE=dq0)
E_MCFI_ANKLE_RATE,0,1,0,estimated rate of the inner ankles (STATE = dq1)
EST_CONTACT_OUTER,0,1,0,Filtered sum of both outer foot contact sensors
EST_CONTACT_INNER,0,1,0,Filtered sum of both inner foot contact sensors
EST_STATE_CONTACTMODE,0,1,0,0 = S0    1 = S1    2 = DS      3 = FL
EST_UI_FSM_MODE,0,1,0,0 = Unit test     1 = WalkCtrl      2 = StandBy
EST_STATE_TH0,0,1,0,abs angle outer legs
EST_STATE_TH1,0,1,0,abs angle inner legs
EST_STATE_PHI0,0,1,0,abs angle outer feet
EST_STATE_PHI1,0,1,0,abs angle inner feet
EST_STATE_DTH0,0,1,0,abs rate outer legs
EST_STATE_DTH1,0,1,0,abs rate inner legs
EST_STATE_DPHI0,0,1,0,abs rate outer feet
EST_STATE_DPHI1,0,1,0,abs rate inner feet
EST_STATE_PSI,0,1,0,Steering angle  in radians
EST_STATE_TH0_GYRO,0,1,0,outer leg angle based on integral of rate gyro
EST_STATE_TH0_IMU,0,1,0,outer leg angle based on IMU sensor fusion 
EST_STATE_POSCOM,0,1,0,borizontal component of the center of mass position
EST_STATE_VELCOM,0,1,0,horizontal component of the center of mass velocity
EST_LAST_STEP_LENGTH,0,1,0,step length that was computed at the previous heel-strike
EST_LAST_STEP_ANGLE,0,1,0,the absolute angle of the outer leg that was computed at the previous heel-strike
EST_LAST_STEP_DURATION,0,1,0,Duration of the previous walking step.
EST_TOTAL_BATT_POWER,0,1,0,add up the battery power being consumed by all boards
OPTIM_WALK_ANK_PUSH ,0,1,0,magnitude of the push-off during walking  normalized to be on the range 0 to 1
OPTIM_WALK_CRIT_STANCE_ANGLE,0,1,0,the critical stance angle when push-off should occur (should be less than zero)
OPTIM_WALK_HIP_STEP_ANGLE ,0,1,0,Target angle for the hip to hold during push-off
OPTIM_WALK_SCISSOR_GAIN,0,1,0,
OPTIM_WALK_SCISSOR_OFFSET,0,1,0,
OPTIM_OBJ_FUN_RUNNING_AVG,0,1,0,Running average of the cost function for all the logged steps taken so far.
OPTIM_STEP_COUNT,0,1,0,Steps in the current optimization walk. Transient steps are negative.
OPTIM_ACTIVE_PARTICLE,0,1,0,PSO population particle active
OPTIM_CURRENT_GENERATION,0,1,0,
OPTIM_OBJ_FUN_SPEED,0,1,0,average speed over the last step as determined by the objective function
OPTIM_FSM_MODE,0,1,0,0 = INIT    1 = PRE_TRIAL    2 = TRIAL    3 = FLYING   
#,,,,
#ControllerParameters,,,,
CTRL_HIP_KP,25,0,1,
CTRL_HIP_KD,3,0,1,
CTRL_ANK_PUSH_KP,20,0,1,
CTRL_ANK_PUSH_KD,2,0,1,
CTRL_ANK_STANCE_KP,15,0,1,
CTRL_ANK_STANCE_KD,1,0,1,
CTRL_ANK_SWING_KP,20,0,1,
CTRL_ANK_SWING_KD,1,0,1,
CTRL_HIP_COMPENSATION_TARGET,0,0,1,hip compensation at target (1) or at measured state (0)
CTRL_HIP_GRAVITY_COMPENSATION,1,0,1,Enables (1) or disables (0) gravity compensation in hip controller
CTRL_HIP_SPRING_COMPENSATION,1,0,1,Enables (1) or disables (0) spring compensation in hip controller
CTRL_WALK_ANK_PUSH ,0.8,0,1,magnitude of the push-off during walking  normalized to be on the range 0 to 1
CTRL_WALK_CRIT_STANCE_ANGLE,-0.08,0,1,the critical stance angle when push-off should occur (should be less than zero)
CTRL_WALK_HIP_STEP_ANGLE ,0.2,0,1,Target angle for the hip to hold during push-off
CTRL_WALK_SCISSOR_GAIN,1.2,0,1,
CTRL_WALK_SCISSOR_OFFSET,0.1,0,1,
CTRL_FSM_LED,0,0,1,0 = LED OFF        1 = LED ON
#,,,,
#ControllerTesting,,,,
CTRL_UNIT_TEST_ID,0,0,1,Selects which unit test the robot should be running. Default is zero = no test
CTRL_TEST_R0,0,0,1,test read from labview
CTRL_TEST_R1,0,0,1,test read from labview
CTRL_TEST_R2,0,0,1,test read from labview
CTRL_TEST_R3,0,0,1,test read from labview
CTRL_TEST_R4,0,0,1,test read from labview
CTRL_TEST_R5,0,0,1,test read from labview
CTRL_TEST_R6,0,0,1,test read from labview
CTRL_TEST_R7,0,0,1,test read from labview
CTRL_TEST_R8,0,0,1,test read from labview
CTRL_TEST_R9,0,0,1,test read from labview
CTRL_TEST_W0,0,1,0,test write to labview
CTRL_TEST_W1,0,1,0,test write to labview
CTRL_TEST_W2,0,1,0,test write to labview
CTRL_TEST_W3,0,1,0,test write to labview
CTRL_TEST_W4,0,1,0,test write to labview
CTRL_TEST_W5,0,1,0,test write to labview
CTRL_TEST_W6,0,1,0,test write to labview
CTRL_TEST_W7,0,1,0,test write to labview
CTRL_TEST_W8,0,1,0,test write to labview
CTRL_TEST_W9,0,1,0,test write to labview
#,,,,
#GaitController,,,,
GAIT_USE_MDP_DATA,1,0,1,true (1) if the robot should use gait parameters from the MDP   and     false(0) if it should use defaults from LabVIEW
#,,,,
#Labview,,,,
LV_START,,,,
LV_CH_0,,,,
LV_CH_1,,,,
LV_CH_2,,,,
LV_CH_3,,,,
LV_CH_4,,,,
LV_CH_5,,,,
LV_CH_6,,,,
LV_CH_7,,,,
LV_CH_8,,,,
LV_CH_9,,,,
LV_CH_10,,,,
LV_CH_11,,,,
LV_CH_12,,,,
LV_CH_13,,,,
LV_CH_14,,,,
LV_CH_15,,,,
LV_CH_16,,,,
LV_CH_17,,,,
LV_CH_18,,,,
LV_CH_19,,,,
LV_CH_20,,,,
LV_CH_21,,,,
LV_CH_22,,,,
LV_CH_23,,,,
LV_CH_24,,,,
LV_CH_25,,,,
LV_CH_26,,,,
LV_CH_27,,,,
LV_CH_28,,,,
LV_CH_29,,,,
LV_CH_30,,,,
LV_CH_31,,,,
LV_CH_32,,,,
LV_CH_33,,,,
LV_CH_34,,,,
LV_CH_35,,,,
LV_CH_36,,,,
LV_CH_37,,,,
LV_CH_38,,,,
LV_CH_39,,,,
LV_CH_40,,,,
LV_CH_41,,,,
LV_CH_42,,,,
LV_CH_43,,,,
LV_CH_44,,,,
LV_CH_45,,,,
LV_CH_46,,,,
LV_CH_47,,,,
LV_VERSION,,,,
